rx_Mbps-2g,rx_Mbps_avg3-2g,FreeTime_2.4GHz,Load_2.4GHz,rx_Mbps_avg5-2g,rx_Mbps_avg7-2g,rx_Mbps_lag1-2g,RxTime_2.4GHz,tx_Mbps_avg7-2g,rx_Mbps_lag2-2g,tx_Mbps_avg5-2g,rx_Mbps_lag3-2g,tx_pps-2g,tx_Mbps_avg3-2g,rx_pps-2g,tx_Mbps_lag1-2g,tx_Mbps_lag2-2g,tx_Mbps_lag3-2g,tx_Mbps-2g,LastDataUplinkRate,UplinkMCS,LastDataDownlinkRate,rx_Mbps,SignalStrength_avg10,VendorStats.Glitch_2.4GHz,rx_pps,ObssTime_2.4GHz,TxTime_2.4GHz,SignalStrength_avg7,SignalStrength_avg5,UplinkShortGuard
0.175,3.521,55.0,45.0,7.187,8.265,1.95,2.0,8.038,8.438,5.061,18.382,726.2,8.073,124.0,12.012,0.214,0.274,11.992,72200.0,7.0,72200.0,0.059,-32.5,974.0,67.6,6.0,25.0,-32.43,-32.4,1.0
19.585,15.647,41.0,59.0,12.055,13.325,15.365,39.0,15.134,11.99,14.78,11.457,1377.6,15.539,563.4,22.243,6.983,3.85,17.39,96100.0,9.0,96100.0,1.933,-53.9,277.0,515.0,5.0,11.0,-52.71,-53.6,1.0
6.204,3.302,35.0,65.0,6.877,5.367,3.498,4.0,13.502,0.205,15.428,11.625,1443.8,20.66,507.8,22.604,21.996,7.596,17.379,72200.0,7.0,65000.0,0.235,-47.0,1434.0,270.0,8.0,36.0,-47.0,-47.0,1.0
0.124,0.151,52.0,48.0,0.172,1.221,0.163,1.0,13.911,0.167,13.897,0.107,639.0,10.354,32.6,10.022,12.202,8.904,8.838,72200.0,7.0,72200.0,0.096,-49.8,658.0,108.6,2.0,12.0,-49.71,-49.6,1.0
14.028,7.582,90.0,10.0,6.118,8.471,4.864,3.0,2.08,3.855,2.025,0.099,167.8,1.504,1173.8,0.837,3.456,4.203,0.22,96100.0,9.0,96100.0,6.583,-57.8,506.0,542.4,2.0,4.0,-56.14,-55.2,1.0
10.448,3.595,49.0,51.0,7.18,8.062,0.169,20.0,10.427,0.168,11.832,11.567,252.167,8.938,290.667,12.243,12.836,10.54,1.735,24000.0,0.0,96100.0,0.037,-50.7,1409.0,40.2,10.0,9.0,-50.86,-50.6,0.0
29.139,25.714,22.0,78.0,17.949,17.759,33.065,44.0,11.998,14.939,14.018,0.277,1257.0,16.087,240.4,17.015,13.688,12.234,17.558,286700.0,11.0,229400.0,0.069,-36.3,564.0,72.4,2.0,25.0,-36.43,-36.4,1.0
9.302,13.328,51.0,49.0,12.008,11.888,17.813,17.0,4.671,12.868,4.685,13.865,123.0,0.187,487.4,0.279,0.145,5.752,0.136,149700.0,6.0,258000.0,5.601,-39.4,1107.0,399.6,12.0,5.0,-39.43,-39.6,1.0
15.668,15.659,73.0,27.0,12.281,9.371,14.749,1.0,6.913,16.559,2.328,6.419,233.8,1.109,818.8,1.415,1.43,2.165,0.483,43300.0,4.0,72200.0,7.741,-46.9,1141.0,631.4,15.0,4.0,-47.0,-46.8,1.0
44.908,51.496,3.0,97.0,53.395,41.902,47.091,67.0,16.283,62.488,8.799,56.573,2963.0,12.738,634.6,16.294,1.96,2.898,19.96,72200.0,7.0,72200.0,42.097,-37.6,342.0,3394.2,2.0,24.0,-37.43,-37.4,1.0
0.581,0.517,22.0,78.0,4.635,11.204,0.41,3.0,20.912,0.56,24.194,8.939,3196.2,31.196,242.0,28.505,18.236,6.695,46.847,219300.0,10.0,229400.0,0.084,-38.0,635.0,93.2,2.0,65.0,-37.71,-37.4,1.0
8.795,3.689,35.0,65.0,9.436,11.122,0.353,40.0,14.146,1.918,12.087,8.45,1077.2,18.575,581.8,27.927,13.561,3.601,14.238,286700.0,11.0,172000.0,6.138,-41.8,1249.0,550.6,5.0,9.0,-41.57,-41.4,1.0
9.582,4.549,24.0,76.0,3.68,5.354,3.77,17.0,24.43,0.296,25.314,0.433,1385.8,18.634,835.4,14.795,23.127,36.851,17.981,86700.0,8.0,96100.0,6.856,-54.9,324.0,565.8,2.0,55.0,-54.0,-52.8,400.0
9.837,12.358,85.0,15.0,13.82,12.096,13.703,0.0,0.909,13.535,0.085,14.019,62.167,0.091,817.5,0.094,0.049,0.116,0.129,1000.0,0.0,216600.0,10.26,-30.4,1135.0,810.2,7.0,4.0,-30.43,-30.4,0.0
9.003,12.938,66.0,34.0,9.395,12.851,16.456,1.0,4.452,13.356,5.494,0.162,254.8,2.673,229.4,0.233,5.29,12.929,2.496,286700.0,11.0,243700.0,2.025,-29.1,1033.0,181.5,10.0,15.0,-29.14,-29.2,1.0
36.909,28.335,40.0,60.0,19.574,18.498,22.75,43.0,14.574,25.345,9.683,9.121,722.8,10.934,80.8,9.805,9.37,7.795,13.628,43300.0,4.0,72200.0,36.099,-50.2,131.0,2910.6,1.0,13.0,-50.29,-50.4,1.0
7.863,2.705,50.0,50.0,8.575,18.711,0.138,11.0,11.506,0.114,16.072,0.104,761.6,20.016,752.4,25.613,17.925,15.801,16.51,286700.0,11.0,270800.0,7.892,-30.5,690.0,720.8,13.0,16.0,-30.57,-30.6,1.0
3.433,14.015,81.0,19.0,19.134,19.313,21.191,6.0,21.131,17.422,20.917,27.903,44.4,12.116,299.8,0.268,36.025,44.609,0.054,1000.0,0.0,286700.0,2.528,-48.2,1387.0,217.4,4.0,4.0,-48.0,-48.2,0.0
3.989,4.039,4.0,96.0,7.571,8.648,7.711,5.0,37.573,0.418,42.501,13.286,3904.0,46.942,308.6,42.049,50.265,34.498,48.513,72200.0,7.0,65000.0,0.383,-46.9,1222.0,435.2,4.0,73.0,-47.0,-47.0,1.0
0.029,0.042,76.0,24.0,5.245,6.949,0.059,1.0,1.731,0.039,2.395,11.175,119.4,3.69,32.2,4.418,4.054,0.833,2.598,243700.0,11.0,286700.0,0.029,-39.9,865.0,31.6,11.0,7.0,-39.86,-39.8,1.0
0.047,5.213,70.0,30.0,10.771,10.197,5.787,1.0,3.117,9.806,0.796,16.173,214.6,1.201,12.4,1.024,0.049,0.123,2.53,286700.0,11.0,216600.0,0.009,-32.9,848.0,9.2,5.0,19.0,-33.0,-33.0,1.0
0.115,0.115,88.0,12.0,1.518,2.075,0.119,1.0,12.354,0.11,15.032,0.072,930.4,20.82,126.8,20.043,20.339,12.671,22.079,1000.0,0.0,216600.0,0.116,-33.0,903.0,129.2,5.0,4.0,-32.71,-31.4,0.0
32.747,27.636,3.0,97.0,24.329,18.459,22.11,77.0,10.722,28.051,3.048,19.831,1072.4,1.992,294.6,0.191,0.328,0.246,5.456,72200.0,7.0,72200.0,29.56,-63.9,489.0,2387.6,1.0,12.0,-63.86,-63.8,400.0
7.86,8.955,80.0,20.0,10.929,11.418,7.99,6.0,0.072,11.015,0.064,6.574,29.8,0.056,654.6,0.054,0.067,0.065,0.046,1000.0,0.0,229400.0,7.937,-31.4,1143.0,660.8,4.0,5.0,-30.71,-31.0,0.0
0.074,0.087,62.0,38.0,1.286,0.937,0.111,1.0,7.304,0.075,7.767,2.393,397.4,12.204,78.0,17.329,10.452,0.064,8.832,195000.0,8.0,229400.0,0.086,-62.0,1490.0,91.8,4.0,26.0,-62.0,-62.0,1600.0
31.243,17.492,52.0,48.0,18.699,16.691,13.684,26.0,13.661,7.548,5.338,18.551,428.8,4.372,2629.6,3.739,7.581,6.87,1.795,96100.0,9.0,96100.0,8.354,-49.3,728.0,690.8,5.0,10.0,-50.0,-50.0,1.0
16.605,15.719,75.0,25.0,18.433,20.527,9.793,2.0,7.817,20.758,4.513,16.088,305.6,1.141,1335.0,0.295,2.152,8.839,0.977,1000.0,0.0,286700.0,7.403,-46.8,218.0,622.0,6.0,13.0,-46.0,-46.0,0.0
31.668,54.556,3.0,97.0,42.224,32.11,70.051,49.0,61.842,61.948,47.937,22.699,3469.2,25.802,305.8,7.106,2.338,73.795,67.961,97400.0,4.0,286700.0,0.277,-48.5,364.0,295.6,2.0,39.0,-48.43,-48.2,1.0
